gene	donor_id	sample	development_stage	sex	cell_type_level_2	n_cells	n_detected	detection_fraction	matrix_used
LOX	6m_thymus_donor	GSM4838951	6-month-old stage	female	cTEC	192	0	0	X
LOX	6m_thymus_donor	GSM4838951	6-month-old stage	female	mTEC	36	1	0.0277778	X
LOX	6m_thymus_donor	GSM4838951	6-month-old stage	female	mTEC-mimetic	31	0	0	X
LOX	6m_thymus_donor	GSM4838951	6-month-old stage	female	mcTEC	17	0	0	X
LOX	6m_thymus_donor	GSM4838952	6-month-old stage	female	cTEC	1011	0	0	X
LOX	6m_thymus_donor	GSM4838952	6-month-old stage	female	mTEC	14	0	0	X
LOX	6m_thymus_donor	GSM4838952	6-month-old stage	female	mTEC-mimetic	17	0	0	X
LOX	6m_thymus_donor	GSM4838952	6-month-old stage	female	mcTEC	6	0	0	X
LOX	6m_thymus_donor	GSM4838953	6-month-old stage	female	cTEC	2	0	0	X
LOX	6m_thymus_donor	GSM4838953	6-month-old stage	female	mTEC	309	0	0	X
LOX	6m_thymus_donor	GSM4838953	6-month-old stage	female	mTEC-mimetic	295	2	0.00677966	X
LOX	6m_thymus_donor	GSM4838953	6-month-old stage	female	mcTEC	14	0	0	X
LOX	6m_thymus_donor	GSM4838954	6-month-old stage	female	cTEC	4	0	0	X
LOX	6m_thymus_donor	GSM4838954	6-month-old stage	female	mTEC	237	0	0	X
LOX	6m_thymus_donor	GSM4838954	6-month-old stage	female	mTEC-mimetic	1485	5	0.003367	X
LOX	6m_thymus_donor	GSM4838954	6-month-old stage	female	mcTEC	2	0	0	X
LOX	F21	FCAImmP7179370	17th week post-fertilization stage	male	cTEC	7	0	0	X
LOX	F21	FCAImmP7179370	17th week post-fertilization stage	male	mTEC	22	0	0	X
LOX	F21	FCAImmP7179370	17th week post-fertilization stage	male	mTEC-mimetic	11	0	0	X
LOX	F21	FCAImmP7179370	17th week post-fertilization stage	male	mcTEC	3	0	0	X
LOX	F23	FCAImmP7198635	12th week post-fertilization stage	male	cTEC	4	0	0	X
LOX	F23	FCAImmP7198635	12th week post-fertilization stage	male	mcTEC	2	0	0	X
LOX	F30	FCAImmP7277565	15th week post-fertilization stage	male	cTEC	4	0	0	X
LOX	F30	FCAImmP7277565	15th week post-fertilization stage	male	mTEC	9	1	0.111111	X
LOX	F30	FCAImmP7277565	15th week post-fertilization stage	male	mTEC-mimetic	3	0	0	X
LOX	F30	FCAImmP7277565	15th week post-fertilization stage	male	mcTEC	5	0	0	X
LOX	F38	FCAImmP7528284	14th week post-fertilization stage	male	mTEC	9	0	0	X
LOX	F38	FCAImmP7528284	14th week post-fertilization stage	male	mTEC-mimetic	2	0	0	X
LOX	F38	FCAImmP7528285	14th week post-fertilization stage	male	cTEC	1	0	0	X
LOX	F38	FCAImmP7528285	14th week post-fertilization stage	male	mTEC	10	0	0	X
LOX	F38	FCAImmP7528285	14th week post-fertilization stage	male	mTEC-mimetic	2	0	0	X
LOX	F45	FCAImmP7579231	13th week post-fertilization stage	female	cTEC	1	0	0	X
LOX	F45	FCAImmP7579231	13th week post-fertilization stage	female	mTEC	4	0	0	X
LOX	F45	FCAImmP7579231	13th week post-fertilization stage	female	mTEC-mimetic	3	0	0	X
LOX	F45	FCAImmP7579231	13th week post-fertilization stage	female	mcTEC	2	0	0	X
LOX	F64	FCAImmP7851890	12th week post-fertilization stage	male	cTEC	2	0	0	X
LOX	F64	FCAImmP7851890	12th week post-fertilization stage	male	mTEC	1	0	0	X
LOX	F64	FCAImmP7851890	12th week post-fertilization stage	male	mcTEC	5	0	0	X
LOX	F64	FCAImmP7851891	12th week post-fertilization stage	male	cTEC	3	0	0	X
LOX	F64	FCAImmP7851891	12th week post-fertilization stage	male	mTEC	1	0	0	X
LOX	F64	FCAImmP7851891	12th week post-fertilization stage	male	mcTEC	3	0	0	X
LOX	F67	FCAImmP7851895	13th week post-fertilization stage	female	cTEC	1	0	0	X
LOX	F67	FCAImmP7851895	13th week post-fertilization stage	female	mTEC	4	1	0.25	X
LOX	F67	FCAImmP7851895	13th week post-fertilization stage	female	mTEC-mimetic	1	0	0	X
LOX	F83	F83_TH_EPCAM	18th week post-fertilization stage	female	cTEC	87	2	0.0229885	X
LOX	F83	F83_TH_EPCAM	18th week post-fertilization stage	female	mTEC	175	17	0.0971429	X
LOX	F83	F83_TH_EPCAM	18th week post-fertilization stage	female	mTEC-mimetic	8	0	0	X
LOX	F83	F83_TH_EPCAM	18th week post-fertilization stage	female	mcTEC	164	13	0.0792683	X
LOX	T07	T07_TH_EPCAM_S3	3-month-old stage	male	cTEC	384	2	0.00520833	X
LOX	T07	T07_TH_EPCAM_S3	3-month-old stage	male	mTEC	1151	21	0.018245	X
LOX	T07	T07_TH_EPCAM_S3	3-month-old stage	male	mTEC-mimetic	25	0	0	X
LOX	T07	T07_TH_EPCAM_S3	3-month-old stage	male	mcTEC	251	18	0.0717131	X
LOX	T07	T07_TH_TOT_1_S1	3-month-old stage	male	cTEC	56	0	0	X
LOX	T07	T07_TH_TOT_1_S1	3-month-old stage	male	mTEC	46	1	0.0217391	X
LOX	T07	T07_TH_TOT_1_S1	3-month-old stage	male	mTEC-mimetic	2	0	0	X
LOX	T07	T07_TH_TOT_1_S1	3-month-old stage	male	mcTEC	16	2	0.125	X
LOX	T07	T07_TH_TOT_2_S2	3-month-old stage	male	cTEC	30	0	0	X
LOX	T07	T07_TH_TOT_2_S2	3-month-old stage	male	mTEC	53	0	0	X
LOX	T07	T07_TH_TOT_2_S2	3-month-old stage	male	mcTEC	7	0	0	X
LOX	U09	TA9260013	6-month-old stage	female	cTEC	102	0	0	X
LOX	U09	TA9260013	6-month-old stage	female	mTEC	115	3	0.026087	X
LOX	U09	TA9260013	6-month-old stage	female	mTEC-mimetic	9	0	0	X
LOX	U09	TA9260013	6-month-old stage	female	mcTEC	4	1	0.25	X
LOX	U40	U40-THY-0-SC-F-1	newborn stage (0-28 days)	female	cTEC	880	30	0.0340909	X
LOX	U40	U40-THY-0-SC-F-1	newborn stage (0-28 days)	female	mTEC	169	3	0.0177515	X
LOX	U40	U40-THY-0-SC-F-1	newborn stage (0-28 days)	female	mTEC-mimetic	57	0	0	X
LOX	U40	U40-THY-0-SC-F-1	newborn stage (0-28 days)	female	mcTEC	2160	137	0.0634259	X
LOX	U40	U40-THY-0-SC-F-2	newborn stage (0-28 days)	female	cTEC	1402	15	0.010699	X
LOX	U40	U40-THY-0-SC-F-2	newborn stage (0-28 days)	female	mTEC	1138	36	0.0316344	X
LOX	U40	U40-THY-0-SC-F-2	newborn stage (0-28 days)	female	mTEC-mimetic	70	0	0	X
LOX	U40	U40-THY-0-SC-F-2	newborn stage (0-28 days)	female	mcTEC	393	26	0.0661578	X
LOX	U40	U48-THY-0-SC-1_5GEX	newborn stage (0-28 days)	female	cTEC	6	0	0	X
LOX	U40	U48-THY-0-SC-1_5GEX	newborn stage (0-28 days)	female	mTEC	5	0	0	X
LOX	U40	U48-THY-0-SC-1_5GEX	newborn stage (0-28 days)	female	mTEC-mimetic	2	0	0	X
LOX	U40	U48-THY-0-SC-1_5GEX	newborn stage (0-28 days)	female	mcTEC	1	0	0	X
LOX	U48	U48-THY-0-SC-EPCP-1_5GEX	6-month-old stage	male	cTEC	681	3	0.00440529	X
LOX	U48	U48-THY-0-SC-EPCP-1_5GEX	6-month-old stage	male	mTEC	329	9	0.0273556	X
LOX	U48	U48-THY-0-SC-EPCP-1_5GEX	6-month-old stage	male	mTEC-mimetic	55	0	0	X
LOX	U48	U48-THY-0-SC-EPCP-1_5GEX	6-month-old stage	male	mcTEC	44	3	0.0681818	X
LOX	U48	U48-THY-0-SC-EPCP-1_5GEX	6-month-old stage	male	see_lv4_explore	1	0	0	X
LOX	U48	U48-THY-0-SC-EPCP-2_5GEX	6-month-old stage	male	cTEC	685	0	0	X
LOX	U48	U48-THY-0-SC-EPCP-2_5GEX	6-month-old stage	male	mTEC	342	14	0.0409357	X
LOX	U48	U48-THY-0-SC-EPCP-2_5GEX	6-month-old stage	male	mTEC-mimetic	65	0	0	X
LOX	U48	U48-THY-0-SC-EPCP-2_5GEX	6-month-old stage	male	mcTEC	45	4	0.0888889	X
LOX	Z11	TA9260017	2-year-old stage	female	mTEC	3	1	0.333333	X
LOX	Z11	TA9260017	2-year-old stage	female	mTEC-mimetic	1	0	0	X
LOX	Z11	TA9260017	2-year-old stage	female	mcTEC	4	0	0	X
LOX	fetal_19w_donor	baut1	20th week post-fertilization stage	unknown	cTEC	3157	10	0.00316756	X
LOX	fetal_19w_donor	baut1	20th week post-fertilization stage	unknown	mTEC	974	7	0.00718686	X
LOX	fetal_19w_donor	baut1	20th week post-fertilization stage	unknown	mTEC-mimetic	131	4	0.0305344	X
LOX	fetal_19w_donor	baut1	20th week post-fertilization stage	unknown	mcTEC	2432	12	0.00493421	X
LOX	fetal_19w_donor	baut1	20th week post-fertilization stage	unknown	see_lv4_explore	16	0	0	X
LOX	fetal_23w_donor	baut2	24th week post-fertilization stage	unknown	cTEC	186	1	0.00537634	X
LOX	fetal_23w_donor	baut2	24th week post-fertilization stage	unknown	mTEC	339	1	0.00294985	X
LOX	fetal_23w_donor	baut2	24th week post-fertilization stage	unknown	mTEC-mimetic	468	1	0.00213675	X
LOX	fetal_23w_donor	baut2	24th week post-fertilization stage	unknown	mcTEC	277	4	0.0144404	X
LOX	fetal_23w_donor	baut2	24th week post-fertilization stage	unknown	see_lv4_explore	23	0	0	X
LOX	fetal_23w_donor	baut3	24th week post-fertilization stage	unknown	cTEC	243	0	0	X
LOX	fetal_23w_donor	baut3	24th week post-fertilization stage	unknown	mTEC	367	1	0.0027248	X
LOX	fetal_23w_donor	baut3	24th week post-fertilization stage	unknown	mTEC-mimetic	458	0	0	X
LOX	fetal_23w_donor	baut3	24th week post-fertilization stage	unknown	mcTEC	263	4	0.0152091	X
LOX	fetal_23w_donor	baut3	24th week post-fertilization stage	unknown	see_lv4_explore	26	0	0	X
LOX	postnatal_10m_donor	baut5	10-month-old stage	unknown	cTEC	48	0	0	X
LOX	postnatal_10m_donor	baut5	10-month-old stage	unknown	mTEC	134	3	0.0223881	X
LOX	postnatal_10m_donor	baut5	10-month-old stage	unknown	mTEC-mimetic	26	0	0	X
LOX	postnatal_10m_donor	baut5	10-month-old stage	unknown	mcTEC	8	1	0.125	X
LOX	postnatal_10m_donor	baut6	10-month-old stage	unknown	cTEC	227	1	0.00440529	X
LOX	postnatal_10m_donor	baut6	10-month-old stage	unknown	mTEC	511	9	0.0176125	X
LOX	postnatal_10m_donor	baut6	10-month-old stage	unknown	mTEC-mimetic	76	1	0.0131579	X
LOX	postnatal_10m_donor	baut6	10-month-old stage	unknown	mcTEC	216	5	0.0231481	X
LOX	postnatal_6d_donor	baut4	newborn stage (0-28 days)	unknown	cTEC	42	1	0.0238095	X
LOX	postnatal_6d_donor	baut4	newborn stage (0-28 days)	unknown	mTEC	55	2	0.0363636	X
LOX	postnatal_6d_donor	baut4	newborn stage (0-28 days)	unknown	mTEC-mimetic	1	0	0	X
LOX	postnatal_6d_donor	baut4	newborn stage (0-28 days)	unknown	mcTEC	2	0	0	X
LOXL1	6m_thymus_donor	GSM4838951	6-month-old stage	female	cTEC	192	6	0.03125	X
LOXL1	6m_thymus_donor	GSM4838951	6-month-old stage	female	mTEC	36	3	0.0833333	X
LOXL1	6m_thymus_donor	GSM4838951	6-month-old stage	female	mTEC-mimetic	31	3	0.0967742	X
LOXL1	6m_thymus_donor	GSM4838951	6-month-old stage	female	mcTEC	17	0	0	X
LOXL1	6m_thymus_donor	GSM4838952	6-month-old stage	female	cTEC	1011	34	0.0336301	X
LOXL1	6m_thymus_donor	GSM4838952	6-month-old stage	female	mTEC	14	0	0	X
LOXL1	6m_thymus_donor	GSM4838952	6-month-old stage	female	mTEC-mimetic	17	1	0.0588235	X
LOXL1	6m_thymus_donor	GSM4838952	6-month-old stage	female	mcTEC	6	0	0	X
LOXL1	6m_thymus_donor	GSM4838953	6-month-old stage	female	cTEC	2	0	0	X
LOXL1	6m_thymus_donor	GSM4838953	6-month-old stage	female	mTEC	309	46	0.148867	X
LOXL1	6m_thymus_donor	GSM4838953	6-month-old stage	female	mTEC-mimetic	295	32	0.108475	X
LOXL1	6m_thymus_donor	GSM4838953	6-month-old stage	female	mcTEC	14	0	0	X
LOXL1	6m_thymus_donor	GSM4838954	6-month-old stage	female	cTEC	4	0	0	X
LOXL1	6m_thymus_donor	GSM4838954	6-month-old stage	female	mTEC	237	22	0.092827	X
LOXL1	6m_thymus_donor	GSM4838954	6-month-old stage	female	mTEC-mimetic	1485	51	0.0343434	X
LOXL1	6m_thymus_donor	GSM4838954	6-month-old stage	female	mcTEC	2	0	0	X
LOXL1	F21	FCAImmP7179370	17th week post-fertilization stage	male	cTEC	7	0	0	X
LOXL1	F21	FCAImmP7179370	17th week post-fertilization stage	male	mTEC	22	2	0.0909091	X
LOXL1	F21	FCAImmP7179370	17th week post-fertilization stage	male	mTEC-mimetic	11	1	0.0909091	X
LOXL1	F21	FCAImmP7179370	17th week post-fertilization stage	male	mcTEC	3	0	0	X
LOXL1	F23	FCAImmP7198635	12th week post-fertilization stage	male	cTEC	4	1	0.25	X
LOXL1	F23	FCAImmP7198635	12th week post-fertilization stage	male	mcTEC	2	1	0.5	X
LOXL1	F30	FCAImmP7277565	15th week post-fertilization stage	male	cTEC	4	0	0	X
LOXL1	F30	FCAImmP7277565	15th week post-fertilization stage	male	mTEC	9	0	0	X
LOXL1	F30	FCAImmP7277565	15th week post-fertilization stage	male	mTEC-mimetic	3	0	0	X
LOXL1	F30	FCAImmP7277565	15th week post-fertilization stage	male	mcTEC	5	0	0	X
LOXL1	F38	FCAImmP7528284	14th week post-fertilization stage	male	mTEC	9	0	0	X
LOXL1	F38	FCAImmP7528284	14th week post-fertilization stage	male	mTEC-mimetic	2	0	0	X
LOXL1	F38	FCAImmP7528285	14th week post-fertilization stage	male	cTEC	1	0	0	X
LOXL1	F38	FCAImmP7528285	14th week post-fertilization stage	male	mTEC	10	0	0	X
LOXL1	F38	FCAImmP7528285	14th week post-fertilization stage	male	mTEC-mimetic	2	0	0	X
LOXL1	F45	FCAImmP7579231	13th week post-fertilization stage	female	cTEC	1	0	0	X
LOXL1	F45	FCAImmP7579231	13th week post-fertilization stage	female	mTEC	4	0	0	X
LOXL1	F45	FCAImmP7579231	13th week post-fertilization stage	female	mTEC-mimetic	3	0	0	X
LOXL1	F45	FCAImmP7579231	13th week post-fertilization stage	female	mcTEC	2	0	0	X
LOXL1	F64	FCAImmP7851890	12th week post-fertilization stage	male	cTEC	2	0	0	X
LOXL1	F64	FCAImmP7851890	12th week post-fertilization stage	male	mTEC	1	0	0	X
LOXL1	F64	FCAImmP7851890	12th week post-fertilization stage	male	mcTEC	5	0	0	X
LOXL1	F64	FCAImmP7851891	12th week post-fertilization stage	male	cTEC	3	1	0.333333	X
LOXL1	F64	FCAImmP7851891	12th week post-fertilization stage	male	mTEC	1	0	0	X
LOXL1	F64	FCAImmP7851891	12th week post-fertilization stage	male	mcTEC	3	0	0	X
LOXL1	F67	FCAImmP7851895	13th week post-fertilization stage	female	cTEC	1	0	0	X
LOXL1	F67	FCAImmP7851895	13th week post-fertilization stage	female	mTEC	4	0	0	X
LOXL1	F67	FCAImmP7851895	13th week post-fertilization stage	female	mTEC-mimetic	1	0	0	X
LOXL1	F83	F83_TH_EPCAM	18th week post-fertilization stage	female	cTEC	87	4	0.045977	X
LOXL1	F83	F83_TH_EPCAM	18th week post-fertilization stage	female	mTEC	175	19	0.108571	X
LOXL1	F83	F83_TH_EPCAM	18th week post-fertilization stage	female	mTEC-mimetic	8	1	0.125	X
LOXL1	F83	F83_TH_EPCAM	18th week post-fertilization stage	female	mcTEC	164	14	0.0853659	X
LOXL1	T07	T07_TH_EPCAM_S3	3-month-old stage	male	cTEC	384	6	0.015625	X
LOXL1	T07	T07_TH_EPCAM_S3	3-month-old stage	male	mTEC	1151	173	0.150304	X
LOXL1	T07	T07_TH_EPCAM_S3	3-month-old stage	male	mTEC-mimetic	25	5	0.2	X
LOXL1	T07	T07_TH_EPCAM_S3	3-month-old stage	male	mcTEC	251	28	0.111554	X
LOXL1	T07	T07_TH_TOT_1_S1	3-month-old stage	male	cTEC	56	1	0.0178571	X
LOXL1	T07	T07_TH_TOT_1_S1	3-month-old stage	male	mTEC	46	10	0.217391	X
LOXL1	T07	T07_TH_TOT_1_S1	3-month-old stage	male	mTEC-mimetic	2	0	0	X
LOXL1	T07	T07_TH_TOT_1_S1	3-month-old stage	male	mcTEC	16	2	0.125	X
LOXL1	T07	T07_TH_TOT_2_S2	3-month-old stage	male	cTEC	30	1	0.0333333	X
LOXL1	T07	T07_TH_TOT_2_S2	3-month-old stage	male	mTEC	53	8	0.150943	X
LOXL1	T07	T07_TH_TOT_2_S2	3-month-old stage	male	mcTEC	7	1	0.142857	X
LOXL1	U09	TA9260013	6-month-old stage	female	cTEC	102	1	0.00980392	X
LOXL1	U09	TA9260013	6-month-old stage	female	mTEC	115	13	0.113043	X
LOXL1	U09	TA9260013	6-month-old stage	female	mTEC-mimetic	9	2	0.222222	X
LOXL1	U09	TA9260013	6-month-old stage	female	mcTEC	4	0	0	X
LOXL1	U40	U40-THY-0-SC-F-1	newborn stage (0-28 days)	female	cTEC	880	43	0.0488636	X
LOXL1	U40	U40-THY-0-SC-F-1	newborn stage (0-28 days)	female	mTEC	169	16	0.0946746	X
LOXL1	U40	U40-THY-0-SC-F-1	newborn stage (0-28 days)	female	mTEC-mimetic	57	2	0.0350877	X
LOXL1	U40	U40-THY-0-SC-F-1	newborn stage (0-28 days)	female	mcTEC	2160	96	0.0444444	X
LOXL1	U40	U40-THY-0-SC-F-2	newborn stage (0-28 days)	female	cTEC	1402	125	0.0891583	X
LOXL1	U40	U40-THY-0-SC-F-2	newborn stage (0-28 days)	female	mTEC	1138	130	0.114236	X
